Last inventory,Operating system,RAM (MB),CPU (MHz),CPU type,CPU number,Setor,RAM_GB,CPU_Family,Cores_per_CPU,Total_Cores,Machine_Profile,Impacto_Operacional,Custo_Upgrade_BRL
2/4/2026 7:12,Microsoft Windows 11 Pro,6987,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,RH,6.8232421875,Ryzen 5,6,6,Notebook,Alto,1600
2/4/2026 10:57,Microsoft Windows 11 Pro,16384,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,RH,16.0,Ryzen 5,6,6,Notebook,Médio,0
2/4/2026 11:37,Microsoft Windows 11 Pro,8192,1190,Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz [4 core(s) x86_64],1,Operação,8.0,Core i5,4,4,Notebook,Alto,1800
2/4/2026 12:15,Microsoft Windows 11 Pro,6987,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,Marketing,6.8232421875,Ryzen 5,6,6,Notebook,Alto,1600
2/4/2026 15:27,Microsoft Windows 11 Pro,16384,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,Comercial,16.0,Ryzen 5,6,6,Notebook,Médio,0
2/4/2026 15:36,Microsoft Windows 11 Pro,16384,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,Jurídico,16.0,Ryzen 5,6,6,Notebook,Médio,0
2/4/2026 16:14,Microsoft Windows 11 Pro,16384,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,RH,16.0,Ryzen 5,6,6,Notebook,Médio,0
2/4/2026 16:28,Microsoft Windows 11 Pro,16384,1190,Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz [4 core(s) x86_64],1,Operação,16.0,Core i5,4,4,Notebook,Médio,0
2/5/2026 8:29,Microsoft Windows 11 Pro,8192,1190,Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz [4 core(s) x86_64],1,Operação,8.0,Core i5,4,4,Notebook,Alto,1800
2/5/2026 11:21,Microsoft Windows 11 Pro,8192,1190,Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz [4 core(s) x86_64],1,Operação,8.0,Core i5,4,4,Notebook,Alto,1800
2/6/2026 10:23,Microsoft Windows 11 Pro,32768,2304,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz [8 core(s) x86_64],1,Operação,32.0,Core i7,8,8,Notebook,Baixo,0
2/6/2026 11:40,Microsoft Windows 11 Business,24576,2000,AMD Ryzen 7 PRO 5875U with Radeon Graphics [8 core(s) x86_64],1,Financeiro,24.0,Ryzen 7,8,8,Notebook,Baixo,0
2/6/2026 13:55,Microsoft Windows 11 Pro,6987,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,Comercial,6.8232421875,Ryzen 5,6,6,Notebook,Alto,1600
2/7/2026 8:22,Microsoft Windows 11 Pro,8192,1190,Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz [4 core(s) x86_64],1,Operação,8.0,Core i5,4,4,Notebook,Alto,1800
2/9/2026 7:06,Microsoft Windows 11 Pro,16384,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,Jurídico,16.0,Ryzen 5,6,6,Notebook,Médio,0
2/9/2026 7:51,Microsoft Windows 11 Pro,8192,1190,Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz [4 core(s) x86_64],1,Operação,8.0,Core i5,4,4,Notebook,Alto,1800
2/9/2026 7:59,Microsoft Windows 11 Pro,16384,1300,12th Gen Intel(R) Core(TM) i5-1235U [10 core(s) x86_64],1,Operação,16.0,Core i5,10,10,Notebook,Médio,0
2/9/2026 8:34,Microsoft Windows 11 Pro,16384,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,Jurídico,16.0,Ryzen 5,6,6,Notebook,Médio,0
2/9/2026 9:00,Microsoft Windows 11 Pro,16384,2419,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz [4 core(s) x86_64],1,Operação,16.0,Core i5,4,4,Notebook,Médio,0
2/9/2026 9:44,Microsoft Windows 11 Pro,16384,1700,12th Gen Intel(R) Core(TM) i7-1255U [10 core(s) x86_64],1,Operação,16.0,Core i7,10,10,Notebook,Baixo,0
